SERIES TITLE,SUBSERIES TITLE,Institution,Location,subseries - date - single,subseries - date - range,FILE TITLE,Physical description - type,physical description - extent,physical description - dimensions,LINK,date type,date - single,date - range
Published audiorecordings,"Ken-Wood Camp For Girls: Kent, Connecticut",Ken-Wood Camp For Girls,"Kent, Connecticut",,,"Memories, Ken-Wood",Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref73,creation,1972,1972/1972
Published audiorecordings,"Ken-Wood Camp For Girls: Kent, Connecticut",Ken-Wood Camp For Girls,"Kent, Connecticut",,,"Memories, Ken-Wood",Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref74,creation,1974,1974/1974
Published audiorecordings,"Ken-Wood Camp For Girls: Kent, Connecticut",Ken-Wood Camp For Girls,"Kent, Connecticut",,,Memories,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref75,creation,1977,
Published audiorecordings,"Ken-Wood Camp For Girls: Kent, Connecticut",Ken-Wood Camp For Girls,"Kent, Connecticut",,,The Sounds of Ken-Wood 1979: Sing along with the Girls of Cabin 18,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref76,creation,1979,1979/1979
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Unity,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref78,creation,1970,1970/1970
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Camp Lenore-Owaissa,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref79,creation,1971,1971/1971
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Keep Remembering..,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref80,creation,1972,1972/1972
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Together,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref81,creation,1973,1973/1973
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Experiencing… / Seniors,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref82,creation,1974,1974/1974
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Youth is a Gift: It Only Comes Once,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref513,creation,1975,1975/1975
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Changes,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref83,creation,1976,1976/1976
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,The Hobbit / Junior Jubillee,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref84,creation,1977,1977/1977
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,I Know a Place,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref85,creation,1978,1978/1978
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,We Are Family,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref86,creation,1979,1979/1979
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Where the Rainbow Ends,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref87,creation,1980,1980/1980
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Your Friend Shall Be the Tall Wind,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref88,creation,1981,
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Friendships Last Forever,Sound cassettes,1 Sound cassette,,,creation,1982,1982/1982
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,What a Time It Was,Sound cassettes,1 Sound cassette,,,creation,1983,1983/1983
Published audiorecordings,"Camp Lenore-Owaissa: Hinsdale, Massachusetts",Camp Lenore-Owaissa,"Hinsdale, Massachusetts",,,Keep Remembering,Sound cassettes,1 Sound cassette,,,creation,1985,1985/1985
Published audiorecordings,"Camp Lenni-Len-A-Pe: Maybrook Quad, New York",Camp Lenni-Len-A-Pe,"Maybrook Quad, New York",,,Songs from the Schunnemunk,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref93,creation,1968,1968/1968
Published audiorecordings,"Camp Lenni-Len-A-Pe: Maybrook Quad, New York",Camp Lenni-Len-A-Pe,"Maybrook Quad, New York",,,,,,,,,,
Published audiorecordings,"Camp Mohawk: Litchfield, Connecticut",Camp Mohawk,"Litchfield, Connecticut",,,Mohawk Melodies,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref95,,,
Published audiorecordings,"Camp Mohawk: Litchfield, Connecticut",Camp Mohawk,"Litchfield, Connecticut",,,Mohawk Sings,Sound discs (vinyl),1 Sound discs (vinyl),,https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref96,,,
Published audiorecordings,"Nassau County 4-H Club Camps: Riverhead, New York",Nassau County 4-H Club Camps,"Riverhead, New York",,,Camp 4-H Sings,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref98,,,
Published audiorecordings,"Nassau County 4-H Club Camps: Riverhead, New York",Nassau County 4-H Club Camps,"Riverhead, New York",,,Camp 4-H Sings,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref99,,,
Published audiorecordings,"Camps Onibar and Geneva: Lake Como, Pennsylvania",Camps Onibar and Geneva,"Lake Como, Pennsylvania",,,Onibar and Geneva Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref123,creation,1963,1963/1963
Published audiorecordings,"Camps Onibar and Geneva: Lake Como, Pennsylvania",Camps Onibar and Geneva,"Lake Como, Pennsylvania",,,Camps Onibar and Geneva Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref124,creation,1964,
Published audiorecordings,"Camps Onibar and Geneva: Lake Como, Pennsylvania",Camps Onibar and Geneva,"Lake Como, Pennsylvania",,,A Summer to Remember,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref125,creation,1965,1965/1965
Published audiorecordings,"Camps Onibar and Geneva: Lake Como, Pennsylvania",Camps Onibar and Geneva,"Lake Como, Pennsylvania",,,Nostalgia '66,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref126,creation,1966,1966/1966
Published audiorecordings,"Camps Onibar and Geneva: Lake Como, Pennsylvania",Camps Onibar and Geneva,"Lake Como, Pennsylvania",,,Think About the Good Times,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref127,creation,1967,1967/1967
Published audiorecordings,"Camps Onibar and Geneva: Lake Como, Pennsylvania",Camps Onibar and Geneva,"Lake Como, Pennsylvania",,,A Scintillating Summer,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref128,creation,1968,1968/1968
Published audiorecordings,"Camps Orin-Sekwa: Niverville, New York",Camps Orin-Sekwa,"Niverville, New York",,,1963 Sing,Sound discs (vinyl),1 Sound discs (vinyl),"7""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref101,creation,1963,1963/1963
Published audiorecordings,"Camps Orin-Sekwa: Niverville, New York",Camps Orin-Sekwa,"Niverville, New York",,,Orin and Sekwa,Sound discs (vinyl),1 Sound discs (vinyl),"7""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref102,creation,1968,1968/1968
Published audiorecordings,"Camps Paradox-Paragon: Paradox, New York",Camps Paradox-Paragon,"Paradox, New York",,,"Camp Paradox for Boys ""The College Palooka""",Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref130,creation,1963,1963/1963
Published audiorecordings,"Camps Paradox-Paragon: Paradox, New York",Camps Paradox-Paragon,"Paradox, New York",,,"Camp Paradox for Boys ""The Love Company""",Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref131,creation,1964,1964/1964
Published audiorecordings,"Camps Paradox-Paragon: Paradox, New York",Camps Paradox-Paragon,"Paradox, New York",,,Camp Paradox for Boys,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref132,creation,1965,1965/1965
Published audiorecordings,"Camps Paradox-Paragon: Paradox, New York",Camps Paradox-Paragon,"Paradox, New York",,,"Camp Paradox for Boys ""All That College Jazz""",Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref133,creation,1966,1966/1966
Published audiorecordings,"Camps Paradox-Paragon: Paradox, New York",Camps Paradox-Paragon,"Paradox, New York",,,"Camp Paradox for Boys ""Velda Was a Lady!""",Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref134,creation,1967,1967/1967
Published audiorecordings,"Camps Paradox-Paragon: Paradox, New York",Camps Paradox-Paragon,"Paradox, New York",,,"Paradox-Paragon ""Anything Goes""",Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref135,creation,1968,1968/1968
Published audiorecordings,"Camps Paradox-Paragon: Paradox, New York",Camps Paradox-Paragon,"Paradox, New York",,,"Camp Paragon for Girls ""Wanda Freen - Girl on the Paragon Scene""",Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref136,,,
Published audiorecordings,"Camps Paradox-Paragon: Paradox, New York",Camps Paradox-Paragon,"Paradox, New York",,,"Camp Paragon for Girls ""The Boy Friend""",Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref137,creation,1967,1967/1967
Published audiorecordings,"Pinecrest Dunes: Peconic, Long Island, New York",Pinecrest Dunes,"Peconic, Long Island, New York",,,Piney Tunes of Pinecrest Dunes,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref139,creation,1963,1963/1963
Published audiorecordings,"Pinecrest Dunes: Peconic, Long Island, New York",Pinecrest Dunes,"Peconic, Long Island, New York",,,,,,,,,,
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Raquette Lake Girls Camp Melodic Memories,Sound discs (vinyl),2 Sound discs (vinyl),"12""",,creation,1965,1965/1965
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Raquette Lake Girls Camp Melodic Memories,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref105,creation,1967,1967/1967
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,The Spirit of Raquette,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref106,creation,1968,1968/1968
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,RLGC,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref107,creation,1970,1970/1970
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Melodic Memories RLGC,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref108,creation,1971,1971/1971
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Melodic Memories RLGC,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref109,creation,1972,1972/1972
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Melodic Memories RLGC,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref110,creation,1973,1973/1973
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Melodic Memories RLGC,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref111,creation,1975,1975/1975
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Melodic Memories RLGC,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref112,creation,1976,1976/1976
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Melodic Memories RLGC,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref113,creation,1977,1977/1977
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Songs and Cheers,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref114,creation,1978,1978/1978
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Songs and Cheers,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref115,creation,1979,1979/1979
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Songs and Cheers,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref116,creation,1980,1980/1980
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Songs and Cheers,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref117,creation,1981,1981/1981
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Songs and Cheers,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref118,creation,1982,1982/1982
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Songs and Cheers,Sound cassettes,1 Sound cassette,,,creation,1983,1983/1983
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Songs and Cheers,Sound cassettes,2 Sound cassettes,,,creation,1984,1984/1984
Published audiorecordings,"Raquette Lake Girls Camp: Raquette Lake, New York",Raquette Lake Girls Camp,"Raquette Lake, New York",,,Songs and Cheers,Sound cassettes,2 Sound cassettes,,,creation,1985,1985/1985
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref514,creation,1962,1962/1962
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref142,creation,1963,1963/1963
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref143,creation,1964,1964/1964
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref144,creation,1965,1965/1965
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref145,creation,1966,1966/1966
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref146,creation,1967,1967/1967
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref147,creation,1968,1968/1968
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref515,creation,1970,1970/1970
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref148,creation,1971,1971/1971
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref149,creation,1972,1972/1972
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref516,creation,1973,1973/1973
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref517,creation,1974,1974/1974
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref518,creation,1975,1975/1975
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref519,creation,1976,1976/1976
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref520,creation,1977,1977/1977
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing!,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref521,creation,1978,1978/1978
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref150,creation,1979,1979/1979
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound discs (vinyl),2 Sound discs (vinyl),"12""",,creation,1980,1980/1980
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel '81,Sound discs (vinyl),1 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref522,creation,1981,1981/1981
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound cassettes,2 Sound cassettes,,,creation,1982,1982/1982
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound cassettes,1 Sound cassette,,,creation,1983,1983/1983
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,The Sing,Sound cassettes,2 Sound cassettes,,,creation,1984,1984/1984
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Robindel Sing,Sound cassettes,2 Sound cassettes,,,creation,1985,1985/1985
Published audiorecordings,"Camp Robindel: Lake Winnipesaukee, New Hampshire",Camp Robindel,"Lake Winnipesaukee, New Hampshire",,,Camp Robindel Sing,Sound cassettes,2 Sound cassettes,,,creation,1986,1986/1986
Published audiorecordings,"Camp Robinson Crusoe: Sturbridge, Massachusetts",Camp Robinson Crusoe,"Sturbridge, Massachusetts",,,Camp Robinson Crusoe,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref158,,,
Published audiorecordings,"Camp Robinson Crusoe: Sturbridge, Massachusetts",Camp Robinson Crusoe,"Sturbridge, Massachusetts",,,Camp Robinson Crusoe,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref159,,,
Published audiorecordings,"Rockbrook Camp: Brevard, North Carolina",Rockbrook Camp,"Brevard, North Carolina",,,The Spirit of Rockbrook,Sound discs (vinyl),2 Sound discs (vinyl),"7""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref161,,,
Published audiorecordings,"Rockbrook Camp: Brevard, North Carolina",Rockbrook Camp,"Brevard, North Carolina",,,,,,,,,,
Published audiorecordings,"Camp Romaca for Girls: Hinsdale, Massachusetts",Camp Romaca for Girls,"Hinsdale, Massachusetts",,,Romaca,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref163,creation,1967,1967/1967
Published audiorecordings,"Camp Romaca for Girls: Hinsdale, Massachusetts",Camp Romaca for Girls,"Hinsdale, Massachusetts",,,Camp Romaca,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref164,creation,1968,1968/1968
Published audiorecordings,"Camp Romaca for Girls: Hinsdale, Massachusetts",Camp Romaca for Girls,"Hinsdale, Massachusetts",,,Romaca,Sound discs (vinyl),2 Sound discs (vinyl),"12""",https://edan.si.edu/slideshow/slideshowViewer.htm?eadrefid=CFCH.ALMA_ref165,creation,1969,1969/1969
